I, [2024-11-09T16:39:04.092260 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/20ca892e-740d-4f15-aa11-6fbb7085179d.jpg
I, [2024-11-09T16:39:04.092355 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Пневматична болгарка YATO YT-09675, price: 2 400 ₴, description: , category: 24ka, image_path: media_dir/24ka/20ca892e-740d-4f15-aa11-6fbb7085179d.jpg
I, [2024-11-09T16:39:04.092398 #28780]  INFO -- : Processed file: Parsed product: Пневматична болгарка YATO YT-09675, Price: 2 400 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/20ca892e-740d-4f15-aa11-6fbb7085179d.jpg
I, [2024-11-09T16:39:04.097129 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/0ccbc4d1-0c95-4ea8-a945-8ec87f883bd8.jpg
I, [2024-11-09T16:39:04.097210 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Кутова шліфувальна машина 100мм 1300Вт (1300-2100 хв⁻¹) YATO YT-82161, price: 4 800 ₴, description: , category: 24ka, image_path: media_dir/24ka/0ccbc4d1-0c95-4ea8-a945-8ec87f883bd8.jpg
I, [2024-11-09T16:39:04.097244 #28780]  INFO -- : Processed file: Parsed product: Кутова шліфувальна машина 100мм 1300Вт (1300-2100 хв⁻¹) YATO YT-82161, Price: 4 800 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/0ccbc4d1-0c95-4ea8-a945-8ec87f883bd8.jpg
I, [2024-11-09T16:39:04.175444 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233218944_w358_h473_kutova-shlifuvalna-mashina.jpg
I, [2024-11-09T16:39:04.189680 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233212659_w358_h473_rizak-pnevmatichnij-yato.jpg
I, [2024-11-09T16:39:04.191390 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/b224ccf2-5eba-4a24-b896-50d3fe4a3459.jpg
I, [2024-11-09T16:39:04.191455 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Кутова шліфувальна машина 125 мм YATO YT-82099, price: 2 250 ₴, description: , category: 24ka, image_path: media_dir/24ka/b224ccf2-5eba-4a24-b896-50d3fe4a3459.jpg
I, [2024-11-09T16:39:04.191483 #28780]  INFO -- : Processed file: Parsed product: Кутова шліфувальна машина 125 мм YATO YT-82099, Price: 2 250 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/b224ccf2-5eba-4a24-b896-50d3fe4a3459.jpg
I, [2024-11-09T16:39:04.205677 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/5916b505-2fd0-4e93-977f-47ce922d6362.jpg
I, [2024-11-09T16:39:04.205741 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Різак пневматичний YATO YT-09717, price: 900 ₴, description: , category: 24ka, image_path: media_dir/24ka/5916b505-2fd0-4e93-977f-47ce922d6362.jpg
I, [2024-11-09T16:39:04.205768 #28780]  INFO -- : Processed file: Parsed product: Різак пневматичний YATO YT-09717, Price: 900 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/5916b505-2fd0-4e93-977f-47ce922d6362.jpg
I, [2024-11-09T16:39:04.270640 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233197253_w269_h230_shlifmashina-kutova-akumulyatorna.jpg
I, [2024-11-09T16:39:04.281529 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233189973_w358_h473_pnevmatichna-bolgarka-yato.jpg
I, [2024-11-09T16:39:04.287965 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/52edffc1-e9df-4c11-8341-f9047f5baa45.jpg
I, [2024-11-09T16:39:04.288060 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Шліфмашина кутова акумуляторна 125 мм YATO YT-82828, price: 5 300 ₴, description: , category: 24ka, image_path: media_dir/24ka/52edffc1-e9df-4c11-8341-f9047f5baa45.jpg
I, [2024-11-09T16:39:04.288101 #28780]  INFO -- : Processed file: Parsed product: Шліфмашина кутова акумуляторна 125 мм YATO YT-82828, Price: 5 300 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/52edffc1-e9df-4c11-8341-f9047f5baa45.jpg
I, [2024-11-09T16:39:04.296161 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/c9a423f9-d712-48f2-9676-127edafc500d.jpg
I, [2024-11-09T16:39:04.296227 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Пневматична болгарка YATO YT-09715, price: 850 ₴, description: , category: 24ka, image_path: media_dir/24ka/c9a423f9-d712-48f2-9676-127edafc500d.jpg
I, [2024-11-09T16:39:04.296253 #28780]  INFO -- : Processed file: Parsed product: Пневматична болгарка YATO YT-09715, Price: 850 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/c9a423f9-d712-48f2-9676-127edafc500d.jpg
I, [2024-11-09T16:39:04.339298 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233268322_w1081_h473_krugla-shlifuvalna-golovka.jpg
I, [2024-11-09T16:39:04.384713 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/bf3010f1-98d2-4a04-9714-270467498a9c.jpg
I, [2024-11-09T16:39:04.384780 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Кругла шліфувальна головка 225мм для YATO YT-82353, price: 300 ₴, description: , category: 24ka, image_path: media_dir/24ka/bf3010f1-98d2-4a04-9714-270467498a9c.jpg
I, [2024-11-09T16:39:04.384807 #28780]  INFO -- : Processed file: Parsed product: Кругла шліфувальна головка 225мм для YATO YT-82353, Price: 300 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/bf3010f1-98d2-4a04-9714-270467498a9c.jpg
I, [2024-11-09T16:39:04.489493 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233258681_w269_h230_nasadka-dlya-shlifuvannya.jpg
I, [2024-11-09T16:39:04.544345 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/35fcc0e2-b891-4629-9974-f3bd1d4338b5.jpg
I, [2024-11-09T16:39:04.544441 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Насадка для шліфування плитки під кутом YATO YT-82985, price: 1 050 ₴, description: , category: 24ka, image_path: media_dir/24ka/35fcc0e2-b891-4629-9974-f3bd1d4338b5.jpg
I, [2024-11-09T16:39:04.544493 #28780]  INFO -- : Processed file: Parsed product: Насадка для шліфування плитки під кутом YATO YT-82985, Price: 1 050 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/35fcc0e2-b891-4629-9974-f3bd1d4338b5.jpg
I, [2024-11-09T16:39:04.579424 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233188668_w358_h473_shlifmashina-kutova-akumulyatorna.jpg
I, [2024-11-09T16:39:04.590910 #28780]  INFO -- : Processed file: Extracted image URL: https://images.prom.ua/6233258730_w358_h473_kutova-shlifuvalna-mashina.jpg
I, [2024-11-09T16:39:04.608620 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/36c17020-f7a2-405e-85d4-37f4e480fd35.jpg
I, [2024-11-09T16:39:04.608685 #28780]  INFO -- : Processed file: Item initialized: RbParser::Item - name: Кутова шліфувальна машина 125мм 1700Вт (10500 хв⁻¹) YATO YT-821023, price: 2 700 ₴, description: , category: 24ka, image_path: media_dir/24ka/36c17020-f7a2-405e-85d4-37f4e480fd35.jpg
I, [2024-11-09T16:39:04.608994 #28780]  INFO -- : Processed file: Parsed product: Кутова шліфувальна машина 125мм 1700Вт (10500 хв⁻¹) YATO YT-821023, Price: 2 700 ₴, Description: , Category: 24ka, Image Path: media_dir/24ka/36c17020-f7a2-405e-85d4-37f4e480fd35.jpg
I, [2024-11-09T16:39:04.848250 #28780]  INFO -- : Processed file: Saved image to media_dir/24ka/12e4331f-e1e4-4d33-8fd8-bf60595b028f.jpg
